"Frontaliers étrangers selon le sexe et la commune de travail"

"Sexe"	"Lieu de travail"	"1996Q4"	"1997Q4"	"1998Q4"	"1999Q4"	"2000Q4"	"2001Q4"	"2002Q4"	"2003Q4"	"2004Q4"	"2005Q4"	"2006Q4"	"2007Q4"	"2008Q4"	"2009Q4"	"2010Q4"	"2011Q4"	"2012Q4"	"2013Q4"	"2014Q4"	"2015Q4"
"Sexe - Total"	"Suisse"	139211.3	134579.6	134719.1	136808.7	147256.1	158591.4	163329.6	168457.1	173783.0	177767.3	194184.5	208317.2	216365.3	221553.1	233532.7	250625.1	267873.8	279130.4	293267.1	304117.4
"Sexe - Total"	"- Zürich"	2937.5	2910.2	2952.3	3016.3	3313.7	3764.5	3873.4	3821.8	3844.3	4010.3	4421.2	5013.9	5389.6	5844.5	6366.7	7041.3	7725.6	8404.1	9008.4	9678.5
"Sexe - Total"	"……Aeugst am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Affoltern am Albis"	0.0	0.0	0.0	0.0	0.0	1.0	2.9	2.9	1.9	1.9	1.9	2.9	1.7	4.2	6.0	9.0	13.0	17.6	16.5	14.7
"Sexe - Total"	"……Bonstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	1.0	1.0	2.0	1.7	1.7	2.6
"Sexe - Total"	"……Hausen am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.9
"Sexe - Total"	"……Hedingen"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	4.7	14.5	17.1	16.0	20.0	23.0	25.7	30.8	33.4
"Sexe - Total"	"……Kappel am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Knonau"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Maschwanden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Mettmenstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	1.0	1.0	2.9	3.0	3.0	2.0	1.9	1.9	1.9
"Sexe - Total"	"……Obfelden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.9	1.0	1.0	1.0	1.7	0.8	0.8
"Sexe - Total"	"……Ottenbach"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.9	0.8	1.5
"Sexe - Total"	"……Rifferswil"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Stallikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.8	0.9	0.0	1.0	1.0	1.7	1.7	1.7
