"Etablissements et emplois selon la commune, le secteur économique et la classe de taille (STATENT)"

"Année"	"Commune"	"Emplois"
"2013"	"1  Aeugst am Albis"	428
"2013"	"2  Affoltern am Albis"	6160
"2013"	"3  Bonstetten"	924
"2013"	"4  Hausen am Albis"	946
"2013"	"5  Hedingen"	1485
"2013"	"6  Kappel am Albis"	347
"2013"	"7  Knonau"	497
"2013"	"8  Maschwanden"	148
"2013"	"9  Mettmenstetten"	1522
"2013"	"10  Obfelden"	1189
"2013"	"11  Ottenbach"	706
"2013"	"12  Rifferswil"	248
"2013"	"13  Stallikon"	853
"2013"	"14  Wettswil am Albis"	1013
"2013"	"21  Adlikon"	169
"2013"	"22  Benken (ZH)"	264
"2013"	"23  Berg am Irchel"	157
"2013"	"24  Buch am Irchel"	167
"2013"	"25  Dachsen"	407
"2013"	"26  Dorf"	157
"2013"	"27  Feuerthalen"	1051
"2013"	"28  Flaach"	678
"2013"	"29  Flurlingen"	514
"2013"	"30  Andelfingen"	1350
"2013"	"31  Henggart"	643
"2013"	"32  Humlikon"	175
"2013"	"33  Kleinandelfingen"	958
"2013"	"34  Laufen-Uhwiesen"	422
"2013"	"35  Marthalen"	1063
"2013"	"36  Oberstammheim"	395
"2013"	"37  Ossingen"	456
"2013"	"38  Rheinau"	465
"2013"	"39  Thalheim an der Thur"	262
"2013"	"40  Trüllikon"	355
"2013"	"41  Truttikon"	97
"2013"	"42  Unterstammheim"	415
"2013"	"43  Volken"	88
"2013"	"44  Waltalingen"	257
"2013"	"51  Bachenbülach"	1850
"2013"	"52  Bassersdorf"	3917
"2013"	"53  Bülach"	10252
"2013"	"54  Dietlikon"	5720
"2013"	"55  Eglisau"	1307
"2013"	"56  Embrach"	3696
"2013"	"57  Freienstein-Teufen"	600
"2013"	"58  Glattfelden"	933
"2013"	"59  Hochfelden"	411
"2013"	"60  Höri"	1095
"2013"	"61  Hüntwangen"	266
"2013"	"62  Kloten"	35980
"2013"	"63  Lufingen"	332
"2013"	"64  Nürensdorf"	996
"2013"	"65  Oberembrach"	246
"2013"	"66  Opfikon"	19923
"2013"	"67  Rafz"	1392
"2013"	"68  Rorbas"	487
"2013"	"69  Wallisellen"	15759
"2013"	"70  Wasterkingen"	77
"2013"	"71  Wil (ZH)"	497
"2013"	"72  Winkel"	778
"2013"	"81  Bachs"	257
"2013"	"82  Boppelsen"	199
"2013"	"83  Buchs (ZH)"	2150
"2013"	"84  Dällikon"	2482
"2013"	"85  Dänikon"	410
"2013"	"86  Dielsdorf"	3862
"2013"	"87  Hüttikon"	128
"2013"	"88  Neerach"	618
"2013"	"89  Niederglatt"	1334
"2013"	"90  Niederhasli"	2298
"2013"	"91  Niederweningen"	864
"2013"	"92  Oberglatt"	1272
"2013"	"93  Oberweningen"	327
"2013"	"94  Otelfingen"	2945
"2013"	"95  Regensberg"	213
"2013"	"96  Regensdorf"	10639
"2013"	"97  Rümlang"	5874
"2013"	"98  Schleinikon"	137
"2013"	"99  Schöfflisdorf"	359
"2013"	"100  Stadel"	574
"2013"	"101  Steinmaur"	732
"2013"	"102  Weiach"	242
"2013"	"111  Bäretswil"	1526
"2013"	"112  Bubikon"	3192
"2013"	"113  Dürnten"	1800
"2013"	"114  Fischenthal"	747
"2013"	"115  Gossau (ZH)"	2723
"2013"	"116  Grüningen"	1657
"2013"	"117  Hinwil"	6630
"2013"	"118  Rüti (ZH)"	4554
"2013"	"119  Seegräben"	547
"2013"	"120  Wald (ZH)"	3367
"2013"	"121  Wetzikon (ZH)"	13495
"2013"	"131  Adliswil"	8061
"2013"	"132  Hirzel"	633
"2013"	"133  Horgen"	9362
"2013"	"134  Hütten"	231
"2013"	"135  Kilchberg (ZH)"	4070
"2013"	"136  Langnau am Albis"	1541
"2013"	"137  Oberrieden"	1209
"2013"	"138  Richterswil"	3756
"2013"	"139  Rüschlikon"	3016
"2013"	"140  Schönenberg (ZH)"	542
"2013"	"141  Thalwil"	6801
"2013"	"142  Wädenswil"	8886
"2013"	"151  Erlenbach (ZH)"	2067
"2013"	"152  Herrliberg"	1262
"2013"	"153  Hombrechtikon"	3001
"2013"	"154  Küsnacht (ZH)"	6185
"2013"	"155  Männedorf"	4756
"2013"	"156  Meilen"	6124
"2013"	"157  Oetwil am See"	2064
"2013"	"158  Stäfa"	5787
"2013"	"159  Uetikon am See"	1548
"2013"	"160  Zumikon"	1554
"2013"	"161  Zollikon"	6131
"2013"	"171  Bauma"	1669
"2013"	"172  Fehraltorf"	3813
"2013"	"173  Hittnau"	832
"2013"	"174  Illnau-Effretikon"	6791
"2013"	"175  Kyburg"	271
"2013"	"176  Lindau"	2380
"2013"	"177  Pfäffikon"	5021
"2013"	"178  Russikon"	1206
"2013"	"179  Sternenberg"	115
"2013"	"180  Weisslingen"	846
"2013"	"181  Wila"	605
"2013"	"182  Wildberg"	222
"2013"	"191  Dübendorf"	20338
"2013"	"192  Egg"	2457
"2013"	"193  Fällanden"	2946
"2013"	"194  Greifensee"	1694
"2013"	"195  Maur"	2260
"2013"	"196  Mönchaltorf"	1391
"2013"	"197  Schwerzenbach"	3044
"2013"	"198  Uster"	16324
"2013"	"199  Volketswil"	10937
"2013"	"200  Wangen-Brüttisellen"	5571
"2013"	"211  Altikon"	151
"2013"	"212  Bertschikon"	245
"2013"	"213  Brütten"	344
"2013"	"214  Dägerlen"	281
"2013"	"215  Dättlikon"	115
"2013"	"216  Dinhard"	336
"2013"	"217  Elgg"	1511
"2013"	"218  Ellikon an der Thur"	651
"2013"	"219  Elsau"	1331
"2013"	"220  Hagenbuch"	242
"2013"	"221  Hettlingen"	642
"2013"	"222  Hofstetten (ZH)"	125
"2013"	"223  Neftenbach"	1621
"2013"	"224  Pfungen"	1050
"2013"	"225  Rickenbach (ZH)"	474
"2013"	"226  Schlatt (ZH)"	142
"2013"	"227  Seuzach"	2666
"2013"	"228  Turbenthal"	1517
"2013"	"229  Wiesendangen"	1102
"2013"	"230  Winterthur"	66333
"2013"	"231  Zell (ZH)"	1409
"2013"	"241  Aesch (ZH)"	340
"2013"	"242  Birmensdorf (ZH)"	2154
"2013"	"243  Dietikon"	17438
"2013"	"244  Geroldswil"	2052
"2013"	"245  Oberengstringen"	1117
"2013"	"246  Oetwil an der Limmat"	271
"2013"	"247  Schlieren"	15844
"2013"	"248  Uitikon"	972
"2013"	"249  Unterengstringen"	970
"2013"	"250  Urdorf"	6607
"2013"	"251  Weiningen (ZH)"	1425
"2013"	"261  Zürich"	455558
"2013"	"301  Aarberg"	2783
"2013"	"302  Bargen (BE)"	336
"2013"	"303  Grossaffoltern"	638
"2013"	"304  Kallnach"	884
"2013"	"305  Kappelen"	579
"2013"	"306  Lyss"	7779
"2013"	"307  Meikirch"	506
"2013"	"309  Radelfingen"	260
"2013"	"310  Rapperswil (BE)"	880
"2013"	"311  Schüpfen"	1258
"2013"	"312  Seedorf (BE)"	1222
"2013"	"321  Aarwangen"	1595
"2013"	"322  Auswil"	158
"2013"	"323  Bannwil"	182
"2013"	"324  Bleienbach"	651
"2013"	"325  Busswil bei Melchnau"	40
"2013"	"326  Gondiswil"	246
"2013"	"329  Langenthal"	12415
"2013"	"331  Lotzwil"	926
"2013"	"332  Madiswil"	1234
"2013"	"333  Melchnau"	727
"2013"	"334  Obersteckholz"	98
"2013"	"335  Oeschenbach"	114
"2013"	"336  Reisiswil"	58
"2013"	"337  Roggwil (BE)"	1376
"2013"	"338  Rohrbach"	533
"2013"	"339  Rohrbachgraben"	149
"2013"	"340  Rütschelen"	90
"2013"	"341  Schwarzhäusern"	84
"2013"	"342  Thunstetten"	1648
"2013"	"344  Ursenbach"	417
"2013"	"345  Wynau"	567
"2013"	"351  Bern"	184581
"2013"	"352  Bolligen"	1774
"2013"	"353  Bremgarten bei Bern"	609
"2013"	"354  Kirchlindach"	780
"2013"	"355  Köniz"	21848
"2013"	"356  Muri bei Bern"	9542
"2013"	"357  Oberbalm"	295
"2013"	"358  Stettlen"	601
"2013"	"359  Vechigen"	1327
"2013"	"360  Wohlen bei Bern"	1945
"2013"	"361  Zollikofen"	6254
"2013"	"362  Ittigen"	10479
"2013"	"363  Ostermundigen"	7008
"2013"	"371  Biel/Bienne"	39347
"2013"	"372  Evilard"	325
"2013"	"381  Arch"	598
"2013"	"382  Büetigen"	120
"2013"	"383  Büren an der Aare"	1893
"2013"	"385  Diessbach bei Büren"	264
"2013"	"386  Dotzigen"	728
"2013"	"387  Lengnau (BE)"	1653
"2013"	"388  Leuzigen"	280
"2013"	"389  Meienried"	22
"2013"	"390  Meinisberg"	229
"2013"	"391  Oberwil bei Büren"	209
"2013"	"392  Pieterlen"	1274
"2013"	"393  Rüti bei Büren"	527
"2013"	"394  Wengi"	144
"2013"	"401  Aefligen"	235
"2013"	"402  Alchenstorf"	115
"2013"	"403  Bäriswil"	171
"2013"	"404  Burgdorf"	13174
"2013"	"405  Ersigen"	440
"2013"	"406  Hasle bei Burgdorf"	1110
"2013"	"407  Heimiswil"	512
"2013"	"408  Hellsau"	123
"2013"	"409  Hindelbank"	894
"2013"	"410  Höchstetten"	98
"2013"	"411  Kernenried"	123
"2013"	"412  Kirchberg (BE)"	3072
"2013"	"413  Koppigen"	921
"2013"	"414  Krauchthal"	532
"2013"	"415  Lyssach"	1379
"2013"	"416  Mötschwil"	42
"2013"	"417  Niederösch"	86
"2013"	"418  Oberburg"	1209
"2013"	"419  Oberösch"	29
"2013"	"420  Rüdtligen-Alchenflüh"	1042
"2013"	"421  Rumendingen"	137
"2013"	"422  Rüti bei Lyssach"	25
"2013"	"423  Willadingen"	43
"2013"	"424  Wynigen"	708
"2013"	"431  Corgémont"	711
"2013"	"432  Cormoret"	105
"2013"	"433  Cortébert"	197
"2013"	"434  Courtelary"	685
"2013"	"435  La Ferrière"	263
"2013"	"436  La Heutte"	87
"2013"	"437  Mont-Tramelan"	48
"2013"	"438  Orvin"	465
"2013"	"439  Péry"	342
"2013"	"440  Plagne"	64
"2013"	"441  Renan (BE)"	267
"2013"	"442  Romont (BE)"	33
"2013"	"443  Saint-Imier"	3222
"2013"	"444  Sonceboz-Sombeval"	1613
