"id","name","job","frontaliers","pc"
1,"Aeugst am Albis",428,0,0
2,"Affoltern am Albis",6160,14.7,0.238636363636364
3,"Bonstetten",924,2.6,0.281385281385281
4,"Hausen am Albis",946,1.9,0.200845665961945
5,"Hedingen",1485,33.4,2.24915824915825
6,"Kappel am Albis",347,0,0
7,"Knonau",497,0,0
8,"Maschwanden",148,0,0
9,"Mettmenstetten",1522,1.9,0.124835742444152
10,"Obfelden",1189,0.8,0.0672834314550042
11,"Ottenbach",706,1.5,0.212464589235128
12,"Rifferswil",248,0,0
13,"Stallikon",853,1.7,0.199296600234467
14,"Wettswil am Albis",1013,8,0.789733464955577
21,"Adlikon",169,3,1.77514792899408
22,"Benken (ZH)",264,4.2,1.59090909090909
23,"Berg am Irchel",157,0,0
24,"Buch am Irchel",167,0.5,0.29940119760479
25,"Dachsen",407,18.3,4.4963144963145
26,"Dorf",157,1.7,1.0828025477707
27,"Feuerthalen",1051,40.8,3.88201712654615
28,"Flaach",678,20.1,2.9646017699115
29,"Flurlingen",514,27.1,5.27237354085603
30,"Andelfingen",1350,34.3,2.54074074074074
31,"Henggart",643,5.7,0.88646967340591
32,"Humlikon",175,0.7,0.4
33,"Kleinandelfingen",958,17.7,1.84759916492693
34,"Laufen-Uhwiesen",422,21.8,5.16587677725119
35,"Marthalen",1063,42.2,3.96989651928504
36,"Oberstammheim",395,3.6,0.911392405063291
37,"Ossingen",456,9,1.97368421052632
38,"Rheinau",465,94.2,20.258064516129
39,"Thalheim an der Thur",262,0.7,0.267175572519084
40,"Trüllikon",355,2.5,0.704225352112676
41,"Truttikon",97,0.8,0.824742268041237
42,"Unterstammheim",415,2.4,0.578313253012048
43,"Volken",88,1,1.13636363636364
44,"Waltalingen",257,6,2.33463035019455
51,"Bachenbülach",1850,50.6,2.73513513513514
52,"Bassersdorf",3917,46.8,1.19479193260148
53,"Bülach",10252,304,2.96527506827936
54,"Dietlikon",5720,109.7,1.91783216783217
55,"Eglisau",1307,81.2,6.21270084162204
56,"Embrach",3696,85.3,2.30790043290043
57,"Freienstein-Teufen",600,8.7,1.45
58,"Glattfelden",933,27.1,2.90460878885316
59,"Hochfelden",411,5.3,1.28953771289538
60,"Höri",1095,39,3.56164383561644
61,"Hüntwangen",266,27.7,10.4135338345865
62,"Kloten",35980,915.3,2.54391328515842
63,"Lufingen",332,4.1,1.23493975903614
